#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
233,Josiah Turner,,,,Foul,Foul,00:00:12.3,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,0:42,"Liam Hopwood, Josiah Turner",Transition,33 Josiah Turner > Transition > Trailer > Foul
234,Josiah Turner,,,,"FTm, Def Reb",Free Throw,00:00:07.1,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,,"Josiah Turner, Tyler Putney",,33 Josiah Turner > Non Possession > Free Throw
235,Luke Insley,,,,Foul,Foul,00:00:09.9,,,,RIT@NAZ,11/21/2024,3,0:42,Luke Granto,,14 Luke Insley > No Play Type > Foul
236,Luke Insley,,,,FTM,Free Throw,00:00:06.3,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > Free Throw
237,Luke Insley,,,,"FTm, Def Reb",Free Throw,00:00:04.8,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,"Luke Insley, Josiah Turner",,14 Luke Insley > Non Possession > Free Throw
238,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:13.6,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,0:21,Matt Caggiano,P&R BH,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
239,Tyler Putney,,,,Foul,Foul,00:00:10.6,,,,RIT@NAZ,11/21/2024,3,0:21,Zac Ditzel,,5 Tyler Putney > No Play Type > Foul
240,Tyler Putney,,,,FTM,Free Throw,00:00:05.2,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Tyler Putney,,5 Tyler Putney > Non Possession > Free Throw
241,Tyler Putney,,,,FTM,Free Throw,00:00:05.9,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Tyler Putney,,5 Tyler Putney > Non Possession > Free Throw
242,Luke Granto,,,,3FGm,Miss 3 Pts,00:00:12.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,0:08,Luke Granto,"P&R BH, Spot Up",10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 2 Luke Granto > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
243,Luke Insley,,,,Foul,Foul,00:00:07.5,,,,RIT@NAZ,11/21/2024,3,0:06,Brock Bowen,,14 Luke Insley > No Play Type > Foul
244,Luke Insley,,,,FTM,Free Throw,00:00:05.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > Free Throw
245,Luke Insley,,,,FTM,Free Throw,00:00:05.9,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > Free Throw
246,Brock Bowen,,,,3FGm,Miss 3 Pts,00:00:09.8,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,,Brock Bowen,Transition,10 Brock Bowen > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts
247,Will Burnett,,,,,No Violation,00:00:06.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Will Burnett,,11 Will Burnett > Non Possession > No Violation
