#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
185,Russell Rau,,,,"2FGm, Off Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:10.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,5:24,"Russell Rau, Fumani Sithole",Off Reb,20 Russell Rau > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
186,Russell Rau,,,,"2FGM, Off Reb",Make 2 Pts,00:00:06.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,5:19,Russell Rau,Off Reb,20 Russell Rau > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
187,Fumani Sithole,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.6,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,4:47,"Fumani Sithole, Aamyr Sullivan","P&R BH, Cut",15 Aidan Roy > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Fumani Sithole > Cut > Flash > Miss 2 Pts
188,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:10.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,4:41,Aamyr Sullivan,Transition,1 Aamyr Sullivan > Transition > Ballhandler > To Basket > Make 2 Pts
189,Alexei Downie,,,,2FGm,Miss 2 Pts,00:00:26.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,4:16,Alexei Downie,Iso,4 Alexei Downie > ISO > Right > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
190,Jack LaGarde,,,,Off Reb,Run Offense,00:00:10.6,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Jack LaGarde,Off Reb,32 Jack LaGarde > Offensive Rebound > Short > Run Offense
191,Alexei Downie,,,,Foul,Foul,00:00:10.6,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,4:12,"Russell Rau, Alexei Downie",Cut,4 Alexei Downie > Cut > Basket > Foul
192,Alexei Downie,,,,FTm,Free Throw,00:00:05.0,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Alexei Downie,,4 Alexei Downie > Non Possession > Free Throw
193,Alexei Downie,,,,FTM,Free Throw,00:00:05.4,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Alexei Downie,,4 Alexei Downie > Non Possession > Free Throw
194,Jamir Harvey,,,,Foul,Foul,00:00:21.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,3:53,"Jack LaGarde, Jamir Harvey",Post Up,23 Jamir Harvey > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Foul
195,Jamir Harvey,,,,FTM,Free Throw,00:00:05.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
196,Jamir Harvey,,,,FTM,Free Throw,00:00:05.6,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
197,Prince Shyllon,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.4,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,3:37,"Russell Rau, Prince Shyllon",Iso,2 Prince Shyllon > ISO > Left > Drives Left > To Basket > Miss 2 Pts
198,Russell Rau,,,,"2FGM, Assist",Make 2 Pts,00:00:18.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,3:23,"Jamir Harvey, Russell Rau",Post Up,20 Russell Rau > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Make 2 Pts
199,Hakeem Daphnis,,,,,No Violation,00:00:06.4,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Hakeem Daphnis,,23 Hakeem Daphnis > Non Possession > No Violation
