#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
58,Tyrese Myrick,,,,"Turnover, Steal",Turnover,00:00:12.6,,,Rowan University,RU@IC,11/09/2024,1,10:26,"Tyrese Myrick, Evan Cabral",Transition,1 Tyrese Myrick > Transition > Ballhandler > Turnover
59,Evan Cabral,,,,2FGM,Make 2 Pts,00:00:13.5,,,Ithaca College,RU@IC,11/09/2024,1,10:20,Evan Cabral,Transition,15 Evan Cabral > Transition > Ballhandler > To Basket > Make 2 Pts
60,Taz Cantey,,,,"Foul, Turnover",Turnover,00:00:13.2,,,Rowan University,RU@IC,11/09/2024,1,10:13,Taz Cantey,P&R BH,2 Taz Cantey > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Turnover
61,Logan Wendell,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:20.9,,,Ithaca College,RU@IC,11/09/2024,1,9:58,"Logan Wendell, Khalif Meares",Cut,1 Logan Wendell > Cut > Basket > Miss 2 Pts
62,Logan Wendell,,,,"3FGM, Assist",Make 3 Pts,00:00:23.2,,,Ithaca College,RU@IC,11/09/2024,1,9:48,"Logan Wendell, Chris Leysath","P&R BH, Spot Up",15 Evan Cabral > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 1 Logan Wendell > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
63,Tyrese Myrick,,,,2FGM,Make 2 Pts,00:00:16.7,,,Rowan University,RU@IC,11/09/2024,1,9:29,Tyrese Myrick,Iso,1 Tyrese Myrick > ISO > Left > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
64,Laurence Brady,,,,Foul,Foul,00:00:21.9,,,Ithaca College,RU@IC,11/09/2024,1,9:05,"Tyrese Myrick, Laurence Brady",Cut,12 Laurence Brady > Cut > Flash > Foul
65,Laurence Brady,,,,FTM,Free Throw,00:00:05.0,,,Ithaca College,RU@IC,11/09/2024,1,,Laurence Brady,,12 Laurence Brady > Non Possession > Free Throw
66,Laurence Brady,,,,"FTm, Def Reb",Free Throw,00:00:05.7,,,Ithaca College,RU@IC,11/09/2024,1,,"Laurence Brady, Jamar Spivey",,12 Laurence Brady > Non Possession > Free Throw
67,Khalif Meares,,,,2FGM,Make 2 Pts,00:00:14.2,,,Rowan University,RU@IC,11/09/2024,1,8:57,Khalif Meares,P&R BH,0 Khalif Meares > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Make 2 Pts
68,Laurence Brady,,,,"Turnover, Steal",Turnover,00:00:16.8,,,Ithaca College,RU@IC,11/09/2024,1,8:42,"Laurence Brady, Khalif Meares",Spot Up,12 Laurence Brady > Spot-Up > Drives Left > Turnover
69,Khalif Meares,,,,FTM,Free Throw,00:00:05.5,,,Rowan University,RU@IC,11/09/2024,1,8:37,Khalif Meares,,0 Khalif Meares > Non Possession > Free Throw
70,Khalif Meares,,,,"FTm, Def Reb",Free Throw,00:00:06.1,,,Rowan University,RU@IC,11/09/2024,1,8:37,"Khalif Meares, Chris Leysath",,0 Khalif Meares > Non Possession > Free Throw
71,Chris Leysath,,,,2FGm,Miss 2 Pts,00:00:22.8,,,Ithaca College,RU@IC,11/09/2024,1,8:25,Chris Leysath,Cut,30 Chris Leysath > Cut > Basket > Miss 2 Pts
72,Cole Wissink,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:13.2,,,Ithaca College,RU@IC,11/09/2024,1,8:25,Cole Wissink,Off Reb,0 Cole Wissink > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
73,Cole Wissink,,,,Off Reb,Run Offense,00:00:13.2,,,Ithaca College,RU@IC,11/09/2024,1,,Cole Wissink,Off Reb,0 Cole Wissink > Offensive Rebound > Short > Run Offense
74,Logan Wendell,,,,"3FGM, Assist",Make 3 Pts,00:00:13.2,,,Ithaca College,RU@IC,11/09/2024,1,8:19,"Logan Wendell, Cole Wissink",Spot Up,1 Logan Wendell > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
75,Dan Mason,,,,"3FGM, Assist",Make 3 Pts,00:00:20.8,,,Rowan University,RU@IC,11/09/2024,1,8:04,"Dan Mason, Khalif Meares","P&R BH, P&R Roll Man",0 Khalif Meares > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 14 Dan Mason > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
76,Logan Wendell,,,,3FGm,Miss 3 Pts,00:00:20.6,,,Ithaca College,RU@IC,11/09/2024,1,7:52,Logan Wendell,"Iso, Spot Up",15 Evan Cabral > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 1 Logan Wendell > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
77,Cole Wissink,,,,Off Reb,Run Offense,00:00:13.7,,,Ithaca College,RU@IC,11/09/2024,1,,Cole Wissink,Off Reb,0 Cole Wissink > Offensive Rebound > Long > Run Offense
78,Evan Cabral,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.7,,,Ithaca College,RU@IC,11/09/2024,1,7:48,"Evan Cabral, Brycen Williams",Spot Up,15 Evan Cabral > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
79,Khalif Meares,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.5,,,Rowan University,RU@IC,11/09/2024,1,7:37,"Khalif Meares, Cole Wissink",P&R BH,0 Khalif Meares > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
80,Evan Cabral,,,,Foul,Foul,00:00:10.8,,,Ithaca College,RU@IC,11/09/2024,1,7:24,"Jamar Spivey, Evan Cabral",Handoff,15 Evan Cabral > Hand Off > From Dribble > Top > Foul
81,Evan Cabral,,,,FTM,Free Throw,00:00:05.8,,,Ithaca College,RU@IC,11/09/2024,1,,Evan Cabral,,15 Evan Cabral > Non Possession > Free Throw
82,Evan Cabral,,,,FTM,Free Throw,00:00:05.7,,,Ithaca College,RU@IC,11/09/2024,1,,Evan Cabral,,15 Evan Cabral > Non Possession > Free Throw
83,Khalif Meares,,,,2FGm,Miss 2 Pts,00:00:26.0,,,Rowan University,RU@IC,11/09/2024,1,7:02,Khalif Meares,P&R BH,0 Khalif Meares > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
84,Dan Mason,,,,,Miss 2 Pts,00:00:20.3,,,Rowan University,RU@IC,11/09/2024,1,,Dan Mason,,14 Dan Mason > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
85,Dan Mason,,,,Off Reb,Run Offense,00:00:20.3,,,Rowan University,RU@IC,11/09/2024,1,,Dan Mason,Off Reb,14 Dan Mason > Offensive Rebound > Short > Run Offense
86,Brycen Williams,,,,"3FGM, Assist",Make 3 Pts,00:00:20.3,,,Rowan University,RU@IC,11/09/2024,1,6:58,"Brycen Williams, Dan Mason",Spot Up,5 Brycen Williams > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
87,Logan Wendell,,,,2FGm,Miss 2 Pts,00:00:18.7,,,Ithaca College,RU@IC,11/09/2024,1,6:46,Logan Wendell,Iso,1 Logan Wendell > ISO > Left > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
88,Evan Cabral,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.3,,,Ithaca College,RU@IC,11/09/2024,1,6:40,"Jamar Spivey, Evan Cabral","P&R BH, P&R Roll Man",1 Logan Wendell > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 15 Evan Cabral > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
89,Drew Amos,,,,"3FGM, Assist",Make 3 Pts,00:00:16.5,,,Rowan University,RU@IC,11/09/2024,1,6:36,"Drew Amos, Khalif Meares",Transition,13 Drew Amos > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
90,Jaylon O'Neal,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.5,,,Ithaca College,RU@IC,11/09/2024,1,6:17,"Jaylon O'Neal, Dan Mason",P&R BH,2 Jaylon O'Neal > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
91,Drew Amos,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.7,,,Rowan University,RU@IC,11/09/2024,1,5:52,"Drew Amos, Laurence Brady","Post Up, Spot Up",14 Dan Mason > Post-Up > Left Block > Post Pin > Dribble Move > Defense Commits > Ball Delivered > 13 Drew Amos > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
92,Logan Wendell,,,,"Turnover, Steal",Turnover,00:00:14.7,,,Ithaca College,RU@IC,11/09/2024,1,5:41,"Jamar Spivey, Logan Wendell",Transition,1 Logan Wendell > Transition > Right Wing > Turnover
93,Jamar Spivey,,,,"2FGM, Assist",Make 2 Pts,00:00:15.4,,,Rowan University,RU@IC,11/09/2024,1,5:36,"Jamar Spivey, Dan Mason",Transition,30 Jamar Spivey > Transition > First Middle > To Basket > Make 2 Pts
94,Cole Wissink,,,,"Foul, Turnover",Turnover,00:00:11.5,,,Ithaca College,RU@IC,11/09/2024,1,5:26,Cole Wissink,,0 Cole Wissink > No Play Type > Turnover
95,Tyrese Myrick,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:12.6,,,Rowan University,RU@IC,11/09/2024,1,5:17,"Tyrese Myrick, Logan Wendell",Spot Up,1 Tyrese Myrick > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
96,Logan Wendell,,,,Foul,Foul,00:00:09.1,,,,RU@IC,11/09/2024,1,5:14,Chris McCarron,,1 Logan Wendell > No Play Type > Foul
97,Logan Wendell,,,,FTM,Free Throw,00:00:05.7,,,Ithaca College,RU@IC,11/09/2024,1,,Logan Wendell,,1 Logan Wendell > Non Possession > Free Throw
98,Logan Wendell,,,,FTM,Free Throw,00:00:05.5,,,Ithaca College,RU@IC,11/09/2024,1,,Logan Wendell,,1 Logan Wendell > Non Possession > Free Throw
99,Dan Mason,,,,"3FGM, Assist",Make 3 Pts,00:00:11.5,,,Rowan University,RU@IC,11/09/2024,1,5:02,"Dan Mason, Khalif Meares","Iso, Spot Up",0 Khalif Meares > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 14 Dan Mason > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
100,Jaylon O'Neal,,,,2FGM,Make 2 Pts,00:00:13.9,,,Ithaca College,RU@IC,11/09/2024,1,4:52,Jaylon O'Neal,Transition,2 Jaylon O'Neal > Transition > Ballhandler > To Basket > Make 2 Pts
101,Brycen Williams,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.5,,,Rowan University,RU@IC,11/09/2024,1,4:39,"Chris Leysath, Brycen Williams",P&R BH,5 Brycen Williams > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
102,Chris Leysath,,,,Turnover,Turnover,00:00:24.9,,,Ithaca College,RU@IC,11/09/2024,1,4:24,Chris Leysath,,30 Chris Leysath > No Play Type > Turnover
103,Tyrese Myrick,,,,Foul,Foul,00:00:16.4,,,,RU@IC,11/09/2024,1,4:10,Laurence Brady,,1 Tyrese Myrick > No Play Type > Foul
104,Tyrese Myrick,,,,"FTm, Def Reb",Free Throw,00:00:05.5,,,Rowan University,RU@IC,11/09/2024,1,,"Tyrese Myrick, Aidan Holmes",,1 Tyrese Myrick > Non Possession > Free Throw
105,Chris Leysath,,,,Foul,Foul,00:00:12.6,,,Ithaca College,RU@IC,11/09/2024,1,3:56,"Brycen Williams, Chris Leysath","P&R BH, P&R Roll Man",2 Jaylon O'Neal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 30 Chris Leysath > P&R Roll Man > Rolls to Basket > Foul
106,Chris Leysath,,,,FTM,Free Throw,00:00:06.2,,,Ithaca College,RU@IC,11/09/2024,1,,Chris Leysath,,30 Chris Leysath > Non Possession > Free Throw
107,Chris Leysath,,,,FTM,Free Throw,00:00:05.9,,,Ithaca College,RU@IC,11/09/2024,1,,Chris Leysath,,30 Chris Leysath > Non Possession > Free Throw
108,Tyrese Myrick,,,,"2FGM, Assist",Make 2 Pts,00:00:20.5,,,Rowan University,RU@IC,11/09/2024,1,3:35,"Tyrese Myrick, Drew Amos",Iso,1 Tyrese Myrick > ISO > Left > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts
109,Jaylon O'Neal,,,,2FGm,Miss 2 Pts,00:00:12.9,,,Ithaca College,RU@IC,11/09/2024,1,3:25,Jaylon O'Neal,Transition,2 Jaylon O'Neal > Transition > Ballhandler > To Basket > Miss 2 Pts
110,Jaylon O'Neal,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:07.9,,,Ithaca College,RU@IC,11/09/2024,1,3:25,"Jaylon O'Neal, Khalif Meares",Off Reb,2 Jaylon O'Neal > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
111,Dan Mason,,,,2FGm,Miss 2 Pts,00:00:18.5,,,Rowan University,RU@IC,11/09/2024,1,3:08,Dan Mason,Cut,14 Dan Mason > Cut > Screen > Miss 2 Pts
