#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
57,Lemar Fulmore,,,,FTM,Free Throw,00:00:09.7,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Lemar Fulmore,,1 Lemar Fulmore > Non Possession > Free Throw
58,Azriel Almodovar,,,,"Turnover, Steal",Turnover,00:00:19.6,,,Bard College,Bar@SLC,11/08/2024,1,9:27,"Azriel Almodovar, Eamon Kelly",Iso,4 Azriel Almodovar > ISO > Top > Drives Right > Defense Commits > Turnover
59,Kyle Jefferson,,,,"Turnover, Steal",Turnover,00:00:10.5,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,9:21,"Kyle Jefferson, Ahmad Rauf",Transition,3 Kyle Jefferson > Transition > Left Wing > Turnover
60,Joshua Bayne,,,,"3FGM, Assist",Make 3 Pts,00:00:11.1,,,Bard College,Bar@SLC,11/08/2024,1,9:14,"Joshua Bayne, Ahmad Rauf",Transition,22 Joshua Bayne > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
61,Lemar Fulmore,,,,"3FGM, Assist",Make 3 Pts,00:00:13.0,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,9:00,"Braden Burman, Lemar Fulmore",Off Screen,1 Lemar Fulmore > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
62,Joshua Bayne,,,,Turnover,Turnover,00:00:31.2,,,Bard College,Bar@SLC,11/08/2024,1,8:28,Joshua Bayne,P&R BH,22 Joshua Bayne > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
63,Aiden Morel,,,,"3FGM, Assist",Make 3 Pts,00:00:12.6,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,8:13,"Aiden Morel, Chris Dougherty",Spot Up,15 Aiden Morel > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
64,Rowan Heinze,,,,Turnover,Turnover,00:00:14.8,,,Bard College,Bar@SLC,11/08/2024,1,7:58,Rowan Heinze,,21 Rowan Heinze > No Play Type > Turnover
65,Lemar Fulmore,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:08.3,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,7:49,"Ahmad Rauf, Lemar Fulmore",P&R BH,1 Lemar Fulmore > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
66,Ahmad Rauf,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.1,,,Bard College,Bar@SLC,11/08/2024,1,7:39,"Ahmad Rauf, Eamon Kelly",Transition,2 Ahmad Rauf > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
67,Andrew Kim,,,,Turnover,Turnover,00:00:19.9,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,7:27,Andrew Kim,Off Screen,2 Andrew Kim > Off Screen > To Shooter's Right > Flare > Turnover
68,Sean Wilcox,,,,Foul,Non Shooting Foul,00:00:17.3,,,,Bar@SLC,11/08/2024,1,,Aiden Morel,,31 Sean Wilcox > Non Possession > Non Shooting Foul
69,Laz Panagiotounis,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.6,,,Bard College,Bar@SLC,11/08/2024,1,7:07,"Laz Panagiotounis, Aiden Morel",Spot Up,15 Laz Panagiotounis > Spot-Up > Drives Right > To Basket > Miss 2 Pts
