Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
VC,RIT,Vassar Brewers,Turnover,To Basket,Avery Lee,PNR,Left,Off,Logan Scott,P&R Roll Man,N/A,Roll
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,Right,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll
VC,RIT,Vassar Brewers,2pMa,To Basket,Avery Lee,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,Sebastian Medina,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Brody Brown,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,PNR,High,Away,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,Right,Off,Brock Bowen,Spot Ups,N/A,Shot
VC,RIT,Vassar Brewers,2pmi,To Basket,Avery Lee,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Kreekor Karageuzian,PNR,High,Off,JP Miranda,Spot Ups,Left,Drive
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Left,N/A,Brandon Weiss,Cuts,N/A,Basket
VC,RIT,Vassar Brewers,2pMa,To Basket,Devyn Benson,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pMa,No Dribble Jumper,Nathan Denham,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,JP Miranda,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pMa,No Dribble Jumper,JP Miranda,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Keegan Ocorr,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,Kreekor Karageuzian,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Nathan Denham,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pMa,No Dribble Jumper,Nathan Denham,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Shea Fitzgerald,Iso,Right,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Foul,Dribble Jumper,Avery Lee,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,Dribble Jumper,Luke Adams,PNR,Left,Off,Shea Fitzgerald,Spot Ups,Left,Drive
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Iso,Right,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Luke Adams,PNR,Left,Off,Shea Fitzgerald,Spot Ups,Left,Drive
VC,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Brock Bowen,PNR,Right,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Luke Adams,PNR,High,Off,Sebastian Medina,Spot Ups,Right,Drive
