Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Connor Cepiel,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Connor Cepiel,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,To Basket,Aren Cummings,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pMa,To Basket,Lemar Fulmore Jr,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Brandon Weiss,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Foul,To Basket,Zac Ditzel,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pMa,To Basket,Connor Cepiel,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Lemar Fulmore Jr,PNR,High,Off,Matthew Garside,Spot Ups,N/A,Shot
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,To Basket,Aren Cummings,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Connor Cepiel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Foul,Hook Shot,Jack Plesser,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Connor Cepiel,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,To Basket,Lemar Fulmore Jr,Iso,Top,N/A,N/A,N/A,N/A,N/A
