#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
89,Nate Tawiah-Boateng,,,,"2FGm, Off Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:12.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,4:19,"Nate Tawiah-Boateng, Alexei Downie",Off Reb,,11 Nate Tawiah-Boateng > Offensive Rebound > Long > Scoring Attempt > At Basket > Miss 2 Pts
90,Avery Eugster,,,,"2FGM, Off Reb",Make 2 Pts,00:00:12.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,4:15,Avery Eugster,Off Reb,,12 Avery Eugster > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Make 2 Pts
91,Charlie Fantom,,,,3FGm,Miss 3 Pts,00:00:20.5,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,3:51,Charlie Fantom,"P&R BH, Spot Up",,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
92,Alexei Downie,,,,Off Reb,Run Offense,00:00:07.8,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,,Alexei Downie,Off Reb,,4 Alexei Downie > Offensive Rebound > Short > Run Offense
93,Ethan Madeiros,,,,"2FGM, Assist",Make 2 Pts,00:00:11.5,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,3:43,"Ethan Madeiros, Hakeem Daphnis",Cut,,25 Ethan Madeiros > Cut > Basket > Make 2 Pts
94,PJ Scalisi,,,,3FGm,Miss 3 Pts,00:00:19.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,3:21,PJ Scalisi,"Post Up, Spot Up",,11 Nate Tawiah-Boateng > Post-Up > Right Block > Post Pin > Defense Commits > Ball Delivered > 23 PJ Scalisi > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
95,Nate Tawiah-Boateng,,,,"Off Reb, Foul",Foul,00:00:07.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,3:21,"Nate Tawiah-Boateng, Nick Padilla",Off Reb,,11 Nate Tawiah-Boateng > Offensive Rebound > Short > Foul
96,Nate Tawiah-Boateng,,,,FTM,Free Throw,00:00:10.5,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Nate Tawiah-Boateng,,,11 Nate Tawiah-Boateng > Non Possession > Free Throw
97,Nate Tawiah-Boateng,,,,FTM,Free Throw,00:00:11.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Nate Tawiah-Boateng,,,11 Nate Tawiah-Boateng > Non Possession > Free Throw
98,Nick Padilla,,,,Foul,Non Shooting Foul,00:00:11.9,,,,SKD@RPI,01/10/2025,1,,Avery Eugster,,,3 Nick Padilla > Non Possession > Non Shooting Foul
99,Ethan Madeiros,,,,,Shot Clock Violation,00:00:30.3,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,,Ethan Madeiros,,,25 Ethan Madeiros > Non Possession > Shot Clock Violation
100,Yechiel Stewart,,,,"3FGM, Assist",Make 3 Pts,00:00:15.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,2:30,"Yechiel Stewart, Andrew Deppe",Spot Up,,22 Yechiel Stewart > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
101,Hakeem Daphnis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:26.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,1:59,"Hakeem Daphnis, Chuck Clemons",P&R BH,,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Takes Early Jump Shot > Dribble Jumper > Long/3pt > Miss 3 Pts
102,Yechiel Stewart,,,,"3FGM, Assist",Make 3 Pts,00:00:13.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,1:51,"Yechiel Stewart, Chuck Clemons",Transition,,22 Yechiel Stewart > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
103,Nick Padilla,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.7,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,1:33,"Nick Padilla, Yechiel Stewart",P&R BH,,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
104,PJ Scalisi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:36.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,1:01,"PJ Scalisi, Hakeem Daphnis",Spot Up,,23 PJ Scalisi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
105,Nick Padilla,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:29.3,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,0:37,"Nick Padilla, PJ Scalisi",Iso,,3 Nick Padilla > ISO > Left > Drives Right > To Basket > Miss 2 Pts
106,Ethan Madeiros,,,,"Foul, Turnover",Turnover,00:00:10.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,0:33,Ethan Madeiros,,,25 Ethan Madeiros > No Play Type > Turnover
107,Yechiel Stewart,,,,3FGm,Miss 3 Pts,00:00:29.3,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,0:08,Yechiel Stewart,"P&R BH, Spot Up",,4 Chuck Clemons > P&R Ball Handler > High P&R > Split > Defense Commits > Ball Delivered > 22 Yechiel Stewart > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
108,Chuck Clemons,,,,"Off Reb, Foul",Foul,00:00:10.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,0:08,"Chuck Clemons, Alexei Downie",Off Reb,,4 Chuck Clemons > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
109,Chuck Clemons,,,,FTm,Free Throw,00:00:11.0,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Chuck Clemons,,,4 Chuck Clemons > Non Possession > Free Throw
