#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
27,Joel Davis,,,,Off Reb,Run Offense,00:00:11.7,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Joel Davis,Off Reb,,23 Joel Davis > Offensive Rebound > Short > Run Offense
28,Kendall Arcuri,,,,3FGm,Miss 3 Pts,00:00:18.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,14:04,Kendall Arcuri,Spot Up,,40 Kendall Arcuri > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
29,Gerrad Beaubrun,,,,"2FGM, Off Reb",Make 2 Pts,00:00:09.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,14:04,Gerrad Beaubrun,Off Reb,,1 Gerrad Beaubrun > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
30,JP Miranda,,,,,Miss 3 Pts,00:00:28.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,,JP Miranda,,,3 Shea Fitzgerald > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 0 JP Miranda > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
31,Kendall Arcuri,,,,2FGM,Make 2 Pts,00:00:27.4,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,13:11,Kendall Arcuri,Post Up,,40 Kendall Arcuri > Post-Up > Left Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts
32,JP Miranda,,,,2FGM,Make 2 Pts,00:00:13.5,,,Vassar Brewers,VC@SCD,01/04/2025,1,12:59,JP Miranda,Transition,,0 JP Miranda > Transition > First Middle > To Basket > Make 2 Pts
33,Gerrad Beaubrun,,,,2FGM,Make 2 Pts,00:00:16.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,12:37,Gerrad Beaubrun,Iso,,1 Gerrad Beaubrun > ISO > Right > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
34,Alex Walters,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.4,,,Vassar Brewers,VC@SCD,01/04/2025,1,12:18,"Alex Walters, Joel Davis","P&R BH, Spot Up",,3 Shea Fitzgerald > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Alex Walters > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
35,Kendall Arcuri,,,,"2FGM, Assist",Make 2 Pts,00:00:12.0,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,12:10,"Kendall Arcuri, Joel Davis",Transition,,40 Kendall Arcuri > Transition > Leak Outs > To Basket > Make 2 Pts
36,Alex Walters,,,,,Out of Bound Timeout,00:00:05.8,,,Vassar Brewers,VC@SCD,01/04/2025,1,,Alex Walters,,,33 Alex Walters > Non Possession > Out of Bound Timeout
37,Shea Fitzgerald,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.0,,,Vassar Brewers,VC@SCD,01/04/2025,1,11:51,"Shea Fitzgerald, Joel Davis","P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 3 Shea Fitzgerald > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
38,Joel Davis,,,,Foul,Non Shooting Foul,00:00:23.9,,,,VC@SCD,01/04/2025,1,,Sacha Greenberg,,,23 Joel Davis > Non Possession > Non Shooting Foul
39,Kendall Arcuri,,,,2FGm,Miss 2 Pts,00:00:26.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,11:23,Kendall Arcuri,Post Up,,40 Kendall Arcuri > Post-Up > Left Block > Left Shoulder > Dribble Move > To Up and Under > Miss 2 Pts
40,Joel Davis,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:13.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,11:23,Joel Davis,Off Reb,,23 Joel Davis > Offensive Rebound > Long > Scoring Attempt > At Basket > Miss 2 Pts
41,Joel Davis,,,,Off Reb,Run Offense,00:00:13.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Joel Davis,Off Reb,,23 Joel Davis > Offensive Rebound > Long > Run Offense
42,Jaylen Warmack,,,,Turnover,Turnover,00:00:20.7,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,11:09,Jaylen Warmack,Iso,,2 Jaylen Warmack > ISO > Top > Defense Commits > Turnover
43,Shea Fitzgerald,,,,2FGM,Make 2 Pts,00:00:21.3,,,Vassar Brewers,VC@SCD,01/04/2025,1,10:54,Shea Fitzgerald,P&R BH,,3 Shea Fitzgerald > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts
44,Jaylen Warmack,,,,2FGM,Make 2 Pts,00:00:11.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,10:40,Jaylen Warmack,P&R BH,,2 Jaylen Warmack > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts
45,Avery Lee,,,,2FGM,Make 2 Pts,00:00:10.7,,,Vassar Brewers,VC@SCD,01/04/2025,1,10:27,Avery Lee,P&R BH,,2 Avery Lee > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
46,Joel Davis,,,,Foul,Foul,00:00:16.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,10:03,"Shea Fitzgerald, Joel Davis",Post Up,,23 Joel Davis > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Foul
47,Joel Davis,,,,FTm,Free Throw,00:00:06.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Joel Davis,,,23 Joel Davis > Non Possession > Free Throw
48,Joel Davis,,,,FTM,Free Throw,00:00:05.8,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Joel Davis,,,23 Joel Davis > Non Possession > Free Throw
49,Luke Adams,,,,Foul,Foul,00:00:18.6,,,Vassar Brewers,VC@SCD,01/04/2025,1,9:51,"Joel Davis, Luke Adams","P&R BH, Cut",,4 Kreekor Karageuzian > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Luke Adams > Cut > Basket > Foul
50,Luke Adams,,,,FTM,Free Throw,00:00:07.1,,,Vassar Brewers,VC@SCD,01/04/2025,1,,Luke Adams,,,23 Luke Adams > Non Possession > Free Throw
51,Luke Adams,,,,FTM,Free Throw,00:00:06.4,,,Vassar Brewers,VC@SCD,01/04/2025,1,,Luke Adams,,,23 Luke Adams > Non Possession > Free Throw
52,Joel Davis,,,,"2FGM, Assist",Make 2 Pts,00:00:16.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,9:35,"Joel Davis, Jaylen Warmack","P&R BH, Cut",,2 Jaylen Warmack > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Joel Davis > Cut > Basket > Make 2 Pts
53,Sacha Greenberg,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,9:18,"Sacha Greenberg, Chris Mcdonald",Off Screen,,11 Sacha Greenberg > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
54,Jaylen Warmack,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,9:10,"Jaylen Warmack, Avery Lee",Transition,,2 Jaylen Warmack > Transition > Left Wing > Dribble Jumper > Long/3pt > Miss 3 Pts
55,JP Miranda,,,,Foul,Foul,00:00:13.8,,,Vassar Brewers,VC@SCD,01/04/2025,1,9:00,"Jaylen Warmack, JP Miranda",Transition,,0 JP Miranda > Transition > First Middle > To Basket > Foul
56,JP Miranda,,,,FTm,Free Throw,00:00:06.3,,,Vassar Brewers,VC@SCD,01/04/2025,1,,JP Miranda,,,0 JP Miranda > Non Possession > Free Throw
57,JP Miranda,,,,FTM,Free Throw,00:00:05.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,,JP Miranda,,,0 JP Miranda > Non Possession > Free Throw
58,Joel Davis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,8:43,"Joel Davis, JP Miranda",Spot Up,,23 Joel Davis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
59,Eric Zhang,,,,2FGM,Make 2 Pts,00:00:16.0,,,Vassar Brewers,VC@SCD,01/04/2025,1,8:34,Eric Zhang,Handoff,,13 Eric Zhang > Hand Off > From Dribble > Right > To Basket > Make 2 Pts
60,Chris Mcdonald,,,,"Turnover, Steal",Turnover,00:00:17.2,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,8:13,"Chris Mcdonald, Avery Lee",Post Up,,33 Chris Mcdonald > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Turnover
61,Alex Walters,,,,"3FGM, Assist",Make 3 Pts,00:00:14.1,,,Vassar Brewers,VC@SCD,01/04/2025,1,8:05,"Alex Walters, Eric Zhang",Transition,,33 Alex Walters > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
