#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
56,Kenny Wilburn,,,,"Cut, 2FGM",Make 2 Pts,00:00:10.5,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,10:13,Kenny Wilburn,3 Kenny Wilburn > Cut > Basket > Make 2 Pts,
57,Laz Panagiotounis,,,,"Iso, 3FGM",Make 3 Pts,00:00:30.9,,,Bard College,Bar@RIT,02/17/2024,1,9:45,Laz Panagiotounis,15 Laz Panagiotounis > ISO > Right > Drives Left > Dribble Jumper > Long/3pt > Make 3 Pts,
58,Brock Bowen,,,,"Transition, 3FGM",Make 3 Pts,00:00:10.7,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,9:32,Brock Bowen,10 Brock Bowen > Transition > Left Wing > Dribble Jumper > Long/3pt > Make 3 Pts,
59,Rowan Heinze,,,,Foul,Non Shooting Foul,00:00:20.4,,,,Bar@RIT,02/17/2024,1,,Kenny Wilburn,21 Rowan Heinze > Non Possession > Non Shooting Foul,
60,Kevin Le,,,,"P&R BH, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:18.2,,,Bard College,Bar@RIT,02/17/2024,1,9:06,"Kenny Wilburn, Chase Dickens, Kevin Le",5 Kevin Le > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
61,Brock Bowen,,,,"Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:07.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,8:57,"Brock Bowen, Kevin Le",10 Brock Bowen > Transition > Left Wing > To Basket > Miss 2 Pts,
62,Rowan Heinze,,,,"Post Up, 2FGm",Miss 2 Pts,00:00:19.4,,,Bard College,Bar@RIT,02/17/2024,1,8:45,Rowan Heinze,21 Rowan Heinze > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts,
63,Kevin Le,,,,"Off Reb, Off Reb",Run Offense,00:00:08.9,,,Bard College,Bar@RIT,02/17/2024,1,,Kevin Le,5 Kevin Le > Offensive Rebound > Long > Run Offense,
64,Kevin Le,,,,"P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:19.1,,,Bard College,Bar@RIT,02/17/2024,1,8:35,"Kevin Le, Cory Dennis",22 Cory Dennis > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Kevin Le > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
65,Brock Bowen,,,,"Handoff, Turnover",Turnover,00:00:12.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,8:18,Brock Bowen,10 Brock Bowen > Hand Off > From Dribble > Right > Turnover,
66,Laz Panagiotounis,,,,"P&R BH, 3FGm, Def Reb",Miss 3 Pts,00:00:38.5,,,Bard College,Bar@RIT,02/17/2024,1,7:47,"Laz Panagiotounis, Kenny Wilburn",15 Laz Panagiotounis > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,
67,Chase Dickens,,,,Foul,Non Shooting Foul,00:00:10.4,,,,Bar@RIT,02/17/2024,1,,Cory Dennis,11 Chase Dickens > Non Possession > Non Shooting Foul,
68,Chase Dickens,,,,"Iso, 2FGM",Make 2 Pts,00:00:12.4,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,7:30,Chase Dickens,11 Chase Dickens > ISO > Left > Drives Right > To Basket > Make 2 Pts,
69,Kevin Le,,,,"P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:23.9,,,Bard College,Bar@RIT,02/17/2024,1,7:06,"Kevin Le, Chase Dickens",15 Laz Panagiotounis > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Kevin Le > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
70,Matt Caggiano,,,,Foul,Non Shooting Foul,00:00:17.8,,,,Bar@RIT,02/17/2024,1,,Kevin Le,5 Matt Caggiano > Non Possession > Non Shooting Foul,
71,Matt Caggiano,,,,"Iso, Cut, 2FGM, Assist",Make 2 Pts,00:00:17.7,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,6:58,"Chase Dickens, Matt Caggiano",11 Chase Dickens > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 5 Matt Caggiano > Cut > Basket > Make 2 Pts,
72,Kevin Le,,,,"Off Screen, 2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:20.3,,,Bard College,Bar@RIT,02/17/2024,1,6:26,"Kevin Le, Matt Caggiano",5 Kevin Le > Off Screen > To Shooter's Left > Curl > To Basket > Miss 2 Pts,
73,Kevin Le,,,,"Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:08.7,,,Bard College,Bar@RIT,02/17/2024,1,6:20,Kevin Le,5 Kevin Le > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
74,Kenny Wilburn,,,,,No Violation,00:00:11.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Kenny Wilburn,3 Kenny Wilburn > Non Possession > No Violation,
75,Kenny Wilburn,,,,"P&R BH, P&R Roll Man, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:12.0,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,6:09,"Kenny Wilburn, Azriel Almodovar, Sean Wilcox",5 Matt Caggiano > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > P&R Roll Man > Rolls to Basket > Miss 2 Pts,
76,Azriel Almodovar,,,,"Handoff, Foul",Foul,00:00:19.7,,,Bard College,Bar@RIT,02/17/2024,1,5:50,"Matt Caggiano, Azriel Almodovar",4 Azriel Almodovar > Hand Off > From Dribble > Right > To Basket > Foul,
