Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Heston Tucker,Bard College,18,3,1,33.3333,14,14,100.0000,3,3,100.0000,91.17647,0,1
Aidan Holmes,Ithaca College,18,7,2,28.5714,10,5,50.0000,4,1,25.0000,47.05882,0,1
Jaylen Savage,Nazareth College Golden Flyers,18,1,0,0.0000,11,4,36.3636,4,1,25.0000,33.33333,3,3
Daniel Cook,St. John Fisher Cardinals,18,1,0,0.0000,14,8,57.1429,1,1,100.0000,53.33333,1,2
Billy Mccrae,Wells,18,1,0,0.0000,14,8,57.1429,2,0,0.0000,53.33333,0,3
Sean Wilcox,Bard College,17,6,0,0.0000,6,3,50.0000,0,0,NULL,25.00000,3,2
Finn Cork,Clarkson University Golden Knights,17,0,0,NULL,10,3,30.0000,0,0,NULL,30.00000,5,2
Matthew Garside,Union (NY) Dutchmen,17,11,3,27.2727,4,1,25.0000,2,1,50.0000,36.66667,2,0
Triston Wennersten,Ithaca College,16,5,3,60.0000,9,5,55.5556,1,0,0.0000,67.85714,0,2
Terrance Clayton-Murphy,Wells,16,7,3,42.8571,8,2,25.0000,0,0,NULL,43.33333,0,1
Paris Jamison,Alfred State Pioneers,16,2,1,50.0000,11,8,72.7273,1,1,100.0000,73.07692,3,0
Cody Schneider,Alfred State Pioneers,16,4,0,0.0000,9,2,22.2222,2,1,50.0000,15.38462,2,1
Steve DeRegis,Clarkson University Golden Knights,15,9,5,55.5556,2,0,0.0000,0,0,NULL,68.18182,4,0
Frankie Rainville,Clarkson University Golden Knights,15,5,2,40.0000,5,5,100.0000,1,1,100.0000,80.00000,4,1
Cole Wissink,Ithaca College,15,7,4,57.1429,4,3,75.0000,2,1,50.0000,81.81818,3,1
Andrew Cowan,St. Lawrence Saints,15,0,0,NULL,11,6,54.5455,0,0,NULL,54.54545,3,1
Yechiel Stewart,Rensselaer Polytechnic,14,6,2,33.3333,6,2,33.3333,0,0,NULL,41.66667,1,1
Prince Shyllon,Skidmore Thoroughbreds,14,6,3,50.0000,8,4,50.0000,6,3,50.0000,60.71429,0,0
Brendan Reid,Union (NY) Dutchmen,14,5,2,40.0000,4,3,75.0000,2,1,50.0000,66.66667,3,2
