Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Kenny Wilburn,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Sean Wilcox,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Rowan Heinze,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brody Brown,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brandon Weiss,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Elliot Harris,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Azriel Almodovar,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Nolan Smih,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Brody Brown,PNR,Right,Off,Kenny Wilburn,P&R Roll Man,Left,Pop
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Heston Tucker,Off Screens,Left,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Cory Dennis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
