Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,IC,Ithaca College,2pmi,Dribble Jumper,Andrew Geschickter,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Logan Wendell,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Noah Downing,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pmi,Dribble Jumper,Cole Wissink,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brandon Weiss,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Cole Wissink,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Mark Osime,Spot Ups,N/A,Shot
RIT,IC,Ithaca College,2pMa,Dribble Jumper,Cole Wissink,PNR,Right,Off,Andrew Geschickter,Spot Ups,Right,Drive
RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Chase Dickens,Iso,Right,N/A,Kenny Wilburn,Cuts,N/A,Flash
RIT,IC,Ithaca College,Turnover,N/A,Cole Wissink,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Andrew Geschickter,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Logan Wendell,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Foul,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
